id,spd,len,dec,rd,dt,val
31,64,7.5,p2Mbp2fhhk,v=T;i=31;s=64;l=7.5,12/9/2025,T
32,87,7.5,kD7VGpR7BK,s=87;v=T;l=7.5;i=32,9/7/2025,T
33,192,8.8,Cmi4CMhfVI,v=T;s=192;i=33;l=8.8,8/18/2025,T
34,18,7.1,N3QJS80dmS,s=18;l=7.1;v=F;i=34,6/26/2025,F
35,53,8.5,Oo6Z0HFHYm,s=53;v=T;i=35;l=8.5,8/15/2025,T
36,103,10,v7cJaNhr16,i=36;s=103;v=T;l=10.0,9/4/2025,T
37,1,8.7,CJE3nULVDf,i=37;l=8.7;s=1;v=F,8/23/2025,F
38,149,5.6,n5v5wSEhBo,v=T;s=149;l=5.6;i=38,1/4/2026,T
39,117,9.1,wtR1iYmdoJ,i=39;l=9.1;s=117;v=T,10/4/2025,T
40,181,9.6,1x5zp6hyRy,l=9.6;i=40;s=181;v=T,9/13/2025,T
41,154,9.1,DcyXlwzhAi,l=9.1;i=41;v=F;s=154,6/25/2025,F
42,3,10.5,RtUi07orDp,s=3;i=42;l=10.5;v=T,7/26/2025,T
43,103,8.7,XbL8UkLMHS,v=T;s=103;i=43;l=8.7,10/17/2025,T
44,142,8.2,NYkQmGcMHV,s=142;v=F;i=44;l=8.2,11/12/2025,F
45,59,8.7,YzPKP3GhMa,l=8.7;s=59;v=F;i=45,1/4/2026,F
46,167,5.7,wL5QpZQ7WT,s=167;l=5.7;i=46;v=T,7/22/2025,T
47,178,9.6,vguniyz8Hk,s=178;l=9.6;i=47;v=F,1/4/2026,F
48,93,10.8,JfbyzYAyFc,i=48;s=93;v=F;l=10.8,10/13/2025,F
49,210,7.3,1GHLtnPo7x,s=210;v=F;l=7.3;i=49,9/30/2025,F
50,157,9.8,Ug95StQwjR,s=157;v=F;l=9.8;i=50,8/13/2025,F
51,24,10.7,77bnrjljci,v=T;i=51;l=10.7;s=24,9/3/2025,T
52,92,8.2,2NMogTK2fi,l=8.2;i=52;v=T;s=92,7/9/2025,T
53,76,9.3,z5GbRt2f90,l=9.3;s=76;i=53;v=F,7/6/2025,F
54,17,9.6,GtD808uzKh,l=9.6;v=F;i=54;s=17,9/26/2025,F
55,46,9.6,ttjncHwoBr,s=46;l=9.6;i=55;v=F,12/17/2025,F
56,31,10.3,3qmYYykhSZ,i=56;l=10.3;s=31;v=T,12/18/2025,T
57,130,9.6,nlFzDcdqqC,v=T;i=57;l=9.6;s=130,12/29/2025,T
58,9,7.9,q3v9h6RQNY,v=T;s=9;l=7.9;i=58,11/21/2025,T
59,168,9.8,Xn4hLyra9c,v=F;s=168;i=59;l=9.8,12/25/2025,F
60,111,10.8,RgSf2pDitK,v=T;l=10.8;i=60;s=111,8/6/2025,T
61,146,7.6,UkCjoZuEMo,l=7.6;v=F;i=61;s=146,9/18/2025,F
62,17,10.1,UKrSAkgCdl,s=17;i=62;v=F;l=10.1,10/19/2025,F
63,55,9.4,WkOsSHFCys,v=T;i=63;l=9.4;s=55,6/28/2025,T
64,65,6.2,6eVgRrBLyI,v=T;s=65;l=6.2;i=64,10/2/2025,T
65,183,6.1,qMAWNW5uP9,s=183;l=6.1;i=65;v=T,7/12/2025,T
66,208,6.1,5k2UhhnGoA,v=F;l=6.1;s=208;i=66,11/26/2025,F
67,239,7.3,KJmIzHQ0M3,s=239;v=T;i=67;l=7.3,8/31/2025,T
68,22,7.1,GSsQ96ZvFw,i=68;v=F;s=22;l=7.1,12/2/2025,F
69,37,6.8,hKh9TdXvs6,s=37;l=6.8;v=T;i=69,10/22/2025,T
70,46,9.6,qcTxWHmvqs,i=70;l=9.6;v=F;s=46,9/22/2025,F
71,200,6.6,dfHAmT4LeW,l=6.6;s=200;v=T;i=71,11/1/2025,T
72,98,9.7,UMF3jMpZlq,v=F;s=98;l=9.7;i=72,8/23/2025,F
73,87,10.1,ykFjfCXPKv,l=10.1;s=87;v=F;i=73,7/23/2025,F
74,163,10.3,JtzgHsji7n,s=163;l=10.3;v=F;i=74,9/19/2025,F
75,206,7.4,M7wf3la8Id,s=206;v=F;i=75;l=7.4,8/19/2025,F
76,218,8.4,Me1Fj3CuN2,v=T;i=76;l=8.4;s=218,12/30/2025,T
77,240,8.1,WKGoq7aJDG,s=240;l=8.1;v=T;i=77,8/28/2025,T
78,188,8.1,z5HOTXFIhj,l=8.1;i=78;s=188;v=F,9/8/2025,F
79,62,8.6,ZuGLFxBsrG,i=79;v=T;l=8.6;s=62,8/10/2025,T
80,224,10.2,QPyJ47kKTv,l=10.2;v=T;s=224;i=80,12/21/2025,T
81,210,10.8,t2euSly0pY,i=81;l=10.8;s=210;v=F,8/24/2025,F
82,230,9.2,AtfOgSm7hG,i=82;s=230;l=9.2;v=F,6/25/2025,F
83,166,6.6,MzHtdsfMej,i=83;v=F;l=6.6;s=166,10/21/2025,F
84,13,6.2,DQ4UDQm1hz,i=84;s=13;v=T;l=6.2,11/19/2025,T
85,83,9.2,om3OJGHx2E,i=85;s=83;l=9.2;v=F,7/16/2025,F
86,105,8.3,Og9TRrIF5Z,l=8.3;s=105;i=86;v=F,7/24/2025,F
87,123,6.2,fj7W1SWnWO,v=T;i=87;s=123;l=6.2,12/7/2025,T
88,212,10.8,05XR3wWFyr,s=212;i=88;l=10.8;v=F,7/2/2025,F
89,138,6.9,X7KgXXSJyK,v=T;i=89;s=138;l=6.9,10/26/2025,T
90,116,8.6,DtZd5htV8Z,s=116;l=8.6;i=90;v=T,10/15/2025,T
91,47,8.2,1PfJaQyxPf,v=F;s=47;l=8.2;i=91,12/21/2025,F
92,113,8.3,gSQkUSU3Yi,i=92;l=8.3;v=T;s=113,9/8/2025,T
93,212,10.3,z39hk4MkHC,s=212;l=10.3;v=T;i=93,7/9/2025,T
94,39,6.7,8zs5HgE99T,i=94;l=6.7;s=39;v=F,12/4/2025,F
95,14,7.5,NbofBiKXHF,s=14;l=7.5;i=95;v=T,8/7/2025,T
96,188,10.3,yQOgKAFyjs,l=10.3;s=188;v=F;i=96,9/3/2025,F
97,72,9.8,h4USmaceFM,v=F;i=97;l=9.8;s=72,11/10/2025,F
98,12,9,CJkWW55v7h,l=9.0;i=98;s=12;v=F,12/23/2025,F
99,8,10.8,yTtbvQvvfa,s=8;l=10.8;v=F;i=99,8/5/2025,F
100,173,8.4,auuct9mZBj,i=100;s=173;l=8.4;v=T,12/27/2025,T
101,179,6.5,nH0323RbN5,s=179;v=F;l=6.5;i=101,8/8/2025,F
102,176,10.6,l7Qh5SsNCO,s=176;l=10.6;i=102;v=F,10/19/2025,F
103,204,7.5,wV5t7D9wGi,v=F;s=204;i=103;l=7.5,6/22/2025,F
104,214,6.6,SnSYcC77E9,v=T;l=6.6;i=104;s=214,12/24/2025,T
105,3,7.1,iRO11TSijF,i=105;s=3;v=T;l=7.1,12/29/2025,T
106,238,9.2,Uw6pF8Pxnj,s=238;v=F;i=106;l=9.2,11/13/2025,F
107,184,5.8,hI1xAp6uOw,s=184;i=107;l=5.8;v=F,11/25/2025,F
108,51,6.3,vRLhWeDD0R,i=108;s=51;v=F;l=6.3,8/28/2025,F
109,236,8.3,UP5WqLUMsl,v=T;s=236;l=8.3;i=109,10/15/2025,T
110,228,10,0IHXd0h8gH,i=110;l=10.0;s=228;v=F,9/26/2025,F
111,154,10.9,8pxTjeN9wB,i=111;v=T;s=154;l=10.9,12/12/2025,T
112,15,6.2,lm2E6zSrDx,s=15;i=112;v=F;l=6.2,12/19/2025,F
113,70,9.1,QGPDzE59X7,l=9.1;s=70;i=113;v=F,9/8/2025,F
114,47,6.8,YiIxgbbUjw,i=114;v=T;s=47;l=6.8,6/30/2025,T
115,141,8.9,S2bonvipIC,i=115;l=8.9;v=T;s=141,10/22/2025,T
116,58,8.9,GhasxmN9HT,l=8.9;v=T;s=58;i=116,7/22/2025,T
117,17,6.9,fYfWI3L7yp,l=6.9;v=F;i=117;s=17,8/25/2025,F
118,222,5.9,GfrUq48j6w,l=5.9;s=222;i=118;v=T,11/16/2025,T
119,123,8.4,OxncJ3RQbS,l=8.4;i=119;v=T;s=123,10/9/2025,T
120,34,10,yYnAgF8FqV,i=120;v=T;l=10.0;s=34,7/6/2025,T
121,244,10,Rum4Sf4WOi,s=244;l=10.0;v=F;i=121,9/22/2025,F
122,102,5.6,yNVraCSmsV,s=102;l=5.6;i=122;v=F,12/4/2025,F
123,192,9.1,Tcha6jDYkb,s=192;v=T;i=123;l=9.1,9/16/2025,T
124,218,10.5,EbIEnv4ZoP,v=T;l=10.5;s=218;i=124,1/2/2026,T
125,65,9.9,EeUPzCvpKK,v=F;s=65;i=125;l=9.9,10/22/2025,F
126,193,7.5,A4nP36LkdF,i=126;l=7.5;v=F;s=193,9/15/2025,F
127,19,6.3,TbFGFjeplr,l=6.3;v=T;i=127;s=19,12/17/2025,T
128,80,9.2,53qzmVUeh8,i=128;s=80;v=F;l=9.2,10/1/2025,F
129,190,7.6,n5B2j3Rxyl,v=F;s=190;i=129;l=7.6,9/17/2025,F
130,236,5.9,kgciWncBhI,s=236;i=130;l=5.9;v=T,8/13/2025,T
131,164,8.5,SGsaoKYkxe,s=164;v=T;l=8.5;i=131,6/20/2025,T
132,207,10.8,1Ut4T4RJa8,v=F;s=207;l=10.8;i=132,9/11/2025,F
133,68,7,aTTSnJLn3b,l=7.0;i=133;v=F;s=68,11/19/2025,F
134,109,10.1,luTHYluhPJ,i=134;l=10.1;v=F;s=109,12/26/2025,F
135,225,5.5,RkURvDVOhy,i=135;v=F;s=225;l=5.5,11/9/2025,F
136,48,6.5,lgh8aKd690,i=136;l=6.5;v=T;s=48,7/7/2025,T
137,193,8.6,umr0J0Wkce,v=F;l=8.6;s=193;i=137,6/25/2025,F
138,244,5.5,VSVNEMYh37,i=138;v=F;s=244;l=5.5,7/8/2025,F
139,172,6.2,Scxxk6oRlY,s=172;v=F;l=6.2;i=139,9/28/2025,F
140,70,5.7,QXPQMRGDXP,v=T;s=70;l=5.7;i=140,11/2/2025,T
141,13,9.2,C86RGDt11n,s=13;i=141;l=9.2;v=T,12/1/2025,T
142,208,5.8,T8s4JGyBNc,i=142;v=F;s=208;l=5.8,8/30/2025,F
143,231,7.4,iEjL285Kze,l=7.4;v=F;i=143;s=231,9/9/2025,F
144,86,10,NavdLJtgDV,v=F;l=10.0;i=144;s=86,9/24/2025,F
145,218,10.2,ipsUdQy33o,v=F;s=218;i=145;l=10.2,6/21/2025,F
146,3,6.2,eH1g7mIkYB,l=6.2;v=T;i=146;s=3,11/20/2025,T
147,184,10.3,ne1gKcu3WU,l=10.3;s=184;i=147;v=T,12/30/2025,T
148,47,10.2,eNcrmz7KdF,v=T;l=10.2;i=148;s=47,9/10/2025,T
149,177,8.9,F1lyZxMn1K,s=177;l=8.9;v=T;i=149,9/7/2025,T
150,173,9.9,dtscIGndN8,l=9.9;s=173;v=F;i=150,11/11/2025,F
151,9,9.6,pryxrDMkzy,i=151;v=F;s=9;l=9.6,7/10/2025,F
152,234,8.8,gibJIpImz2,i=152;v=T;l=8.8;s=234,12/4/2025,T
153,217,10,ggjvjpJWmr,l=10.0;v=F;s=217;i=153,7/29/2025,F
154,223,10.5,rxQoMWTsq4,i=154;v=F;l=10.5;s=223,11/7/2025,F
155,80,9.4,wjdiQiUrjm,i=155;l=9.4;v=T;s=80,11/18/2025,T
156,67,9.2,lOaAufTL0G,v=T;i=156;s=67;l=9.2,10/21/2025,T
157,108,9.3,0idjch4Rwu,l=9.3;s=108;v=F;i=157,7/5/2025,F
158,99,6.2,dUriZmMVVS,l=6.2;i=158;s=99;v=T,9/18/2025,T
159,174,5.6,nDH4jm6KLp,v=T;s=174;i=159;l=5.6,10/29/2025,T
160,218,5.6,8o6JAb4wy5,l=5.6;i=160;s=218;v=T,8/9/2025,T
161,201,8,nwKgw8t6LI,l=8.0;v=F;i=161;s=201,8/1/2025,F
162,244,8.1,7PYombyCqd,s=244;l=8.1;v=F;i=162,8/5/2025,F
163,146,6.7,MV44W5RYET,s=146;v=F;i=163;l=6.7,8/13/2025,F
164,104,9.8,XrbE9jPG3I,l=9.8;s=104;i=164;v=T,8/7/2025,T
165,21,10.8,3WdxozLPqi,i=165;v=F;l=10.8;s=21,7/4/2025,F
166,124,6.9,CGn8fM1iTl,s=124;v=T;l=6.9;i=166,1/6/2026,T
167,241,6.3,cbjYiLWUSL,v=F;s=241;l=6.3;i=167,6/24/2025,F
168,178,6,RMmW6GLNJk,l=6.0;s=178;i=168;v=F,11/1/2025,F
169,31,6.3,IyFMe7lCkD,v=T;i=169;l=6.3;s=31,9/14/2025,T
170,130,7.8,WLkLkjjDH3,s=130;i=170;v=T;l=7.8,10/30/2025,T
171,232,7,gO46k38apZ,v=F;s=232;l=7.0;i=171,1/1/2026,F
172,248,7.2,JruM35X287,i=172;l=7.2;v=F;s=248,11/19/2025,F
173,207,10.4,TITFy19O5V,i=173;v=F;s=207;l=10.4,12/29/2025,F
174,21,8.7,d9kqmoEb3t,l=8.7;s=21;i=174;v=T,11/15/2025,T
175,211,8.8,lFvACwthCX,s=211;l=8.8;i=175;v=F,9/3/2025,F
176,137,6.8,BNQ2adgRLf,l=6.8;i=176;s=137;v=T,8/10/2025,T
177,37,9.5,K5FMxKirX9,v=F;i=177;s=37;l=9.5,11/17/2025,F
178,175,6.4,qTQQSe0zc2,s=175;l=6.4;v=T;i=178,9/8/2025,
179,63,9.6,m3bjG21sUe,s=63;l=9.6;i=179;v=F,7/31/2025,F
180,172,7,Ksnbeygsvk,i=180;l=7.0;s=172;v=F,12/16/2025,F
181,243,8.5,ON0cJ9bMwL,s=243;v=T;i=181;l=8.5,7/25/2025,T
182,232,9.6,Jbwxspt8R7,s=232;l=9.6;i=182;v=T,10/13/2025,T
183,66,10.4,vf5yWTzqri,v=F;i=183;l=10.4;s=66,11/19/2025,F
184,62,10.6,oifL7wPxpO,l=10.6;i=184;s=62;v=F,11/1/2025,F
185,151,8.1,eYBKkMEtr2,l=8.1;i=185;s=151;v=F,10/9/2025,F
186,221,7.1,CfRqyX0LC6,i=186;v=F;s=221;l=7.1,12/27/2025,F
187,48,8,fdKdT2jSDr,v=F;s=48;l=8.0;i=187,9/12/2025,F
188,178,10.5,AHOHzU8Uuf,l=10.5;s=178;v=F;i=188,6/27/2025,F
189,72,7.9,gDa4vTZE4R,l=7.9;i=189;v=T;s=72,10/28/2025,T
190,190,8.9,hZwx3VIPCW,l=8.9;s=190;i=190;v=T,11/12/2025,T
191,60,7.5,q0icyOdZaz,v=F;l=7.5;s=60;i=191,12/27/2025,F
192,223,10.9,ZcAVJwTeCw,i=192;v=T;l=10.9;s=223,12/23/2025,T
193,34,9.2,JfAxvjeA7f,s=34;l=9.2;v=T;i=193,12/6/2025,T
194,128,10.8,MduaK0dS5C,l=10.8;i=194;s=128;v=F,8/14/2025,F
195,207,8.5,vCxNIcpmsL,l=8.5;v=T;s=207;i=195,10/17/2025,T
196,171,9.9,XXxelWrG6K,s=171;l=9.9;i=196;v=T,10/3/2025,T
197,147,7.9,S8o4V1LZ32,s=147;v=F;i=197;l=7.9,12/26/2025,F
198,126,8,hIRAEm5jLx,s=126;v=T;l=8.0;i=198,7/6/2025,T
199,1,,oDh6LDpj8j,i=199;v=F;l=8.3;s=1,9/15/2025,F
200,22,8.2,cIzBW56lMi,v=F;l=8.2;i=200;s=22,7/16/2025,F
201,126,10.8,BHEcUovRbh,v=F;i=201;s=126;l=10.8,12/30/2025,F
202,108,10.9,9HNGjWlAnW,l=10.9;s=108;i=202;v=F,7/20/2025,F
203,7,7.6,SCmggwh7II,i=203;v=F;l=7.6;s=7,6/23/2025,F
204,196,7.4,LRlB17XdH0,v=T;l=7.4;i=204;s=196,6/26/2025,T
205,122,5.8,oH6gqadeD5,i=205;l=5.8;s=122;v=T,8/27/2025,T
206,218,5.8,QqMYVyrOr3,v=T;s=218;l=5.8;i=206,12/26/2025,T
207,216,7.3,WJhguUwk9t,l=7.3;v=F;s=216;i=207,6/20/2025,F
208,143,9.7,pcFraSzOLE,s=143;v=F;l=9.7;i=208,11/1/2025,F
209,166,8.2,QSzsYmasFQ,l=8.2;i=209;v=F;s=166,12/21/2025,F
210,58,7,1uQcW6iV7A,s=58;l=7.0;v=F;i=210,10/30/2025,F
211,75,10.1,UQKhVsr2dy,s=75;v=F;l=10.1;i=211,8/22/2025,F
212,2,6.6,lv1W65sIJm,l=6.6;i=212;v=F;s=2,8/16/2025,F
213,7,7.6,02rJAHQMWk,s=7;i=213;v=T;l=7.6,8/30/2025,T
214,175,5.8,KwnXW6sOS0,i=214;v=F;l=5.8;s=175,11/9/2025,F
215,155,8.1,mn0Tf88ez6,v=T;s=155;l=8.1;i=215,12/9/2025,T
216,228,10.1,HDUfkPW9E4,v=F;s=228;l=10.1;i=216,12/10/2025,F
217,180,9,srrwvrkf8L,v=T;s=180;i=217;l=9.0,7/7/2025,T
218,43,8,FVmspSJath,l=8.0;i=218;s=43;v=T,7/14/2025,T
219,89,9,Spp9SoWob8,v=T;s=89;i=219;l=9.0,9/27/2025,T
220,163,9.8,E55iO7Sgku,s=163;v=T;i=220;l=9.8,7/20/2025,T
221,147,8.6,NhCXv9z7Lq,l=8.6;i=221;v=T;s=147,10/10/2025,T
222,154,5.6,7v4JhHhlHz,v=T;s=154;i=222;l=5.6,10/10/2025,T
223,43,8.2,NSNKeFZN1H,l=8.2;i=223;v=F;s=43,10/11/2025,F
224,102,7.3,HaTftuFSI4,s=102;i=224;v=T;l=7.3,8/6/2025,T
225,5,7.6,hOJE0ZJGO2,s=5;i=225;l=7.6;v=T,8/13/2025,T
226,178,10.5,U7kd0O2rsY,l=10.5;v=F;s=178;i=226,11/24/2025,F
227,176,8.5,hwB4EKevER,s=176;i=227;l=8.5;v=F,7/23/2025,F
228,5,10.2,3M4f7bUgP8,s=5;l=10.2;i=228;v=T,9/4/2025,T
229,80,10.5,Ko0Ea2zoIF,v=F;i=229;s=80;l=10.5,7/19/2025,F
230,180,9.3,3ojbMovCoh,l=9.3;i=230;v=F;s=180,10/27/2025,F
231,184,10.8,xk37unyDpf,s=184;v=T;l=10.8;i=231,7/1/2025,T
232,16,10,cflF6n5loz,i=232;s=16;l=10.0;v=F,11/18/2025,F
233,50,10.3,kABawucbnB,l=10.3;v=F;i=233;s=50,10/18/2025,F
234,242,9,xtfDdJB93k,s=242;v=F;l=9.0;i=234,11/20/2025,F
235,12,8.4,fEH9h1lrV6,l=8.4;s=12;i=235;v=T,7/28/2025,T
236,73,7.7,jgJSOsejCB,l=7.7;i=236;v=F;s=73,11/22/2025,F
237,8,7.9,NVYgvsGoUN,l=7.9;v=F;s=8;i=237,8/13/2025,F
238,30,6.6,NIzEF6Teej,v=T;s=30;i=238;l=6.6,10/7/2025,T
239,162,7,2hnIRRjtA1,i=239;l=7.0;s=162;v=T,6/30/2025,T
240,218,7.9,hsSFAAxvPD,v=F;s=218;i=240;l=7.9,11/12/2025,F
241,34,7.3,3mlFADag8Z,v=F;s=34;i=241;l=7.3,12/12/2025,F
242,19,9.6,HSMoDgQeFU,s=19;i=242;v=F;l=9.6,7/27/2025,F
243,211,6.6,dLLTIEDT7O,v=F;l=6.6;i=243;s=211,11/8/2025,F
244,6,7.7,yI4wq7Hnoy,l=7.7;i=244;v=T;s=6,12/25/2025,T
245,163,6.2,ODmBV1sB0H,l=6.2;v=F;i=245;s=163,9/28/2025,F
246,85,9,KUt7gjLbgO,v=T;l=9.0;i=246;s=85,10/5/2025,T
247,36,7.6,7Dcknp13Ay,i=247;v=F;l=7.6;s=36,11/18/2025,F
248,26,9.2,HPGoG61UBT,s=26;v=F;l=9.2;i=248,10/9/2025,F
249,143,9.3,Zv48WgbbGW,i=249;l=9.3;s=143;v=F,7/29/2025,F
250,220,7.3,NzWhdZMBhk,l=7.3;s=220;v=T;i=250,9/4/2025,T
251,154,7.2,KkVun34s6c,s=154;i=251;v=F;l=7.2,8/9/2025,F
252,98,7.3,w6FVwtTUXo,l=7.3;v=F;s=98;i=252,11/20/2025,F
253,208,8.3,T5zkzNAeod,i=253;v=T;s=208;l=8.3,10/2/2025,T
254,213,6.6,33s6fkJBxg,i=254;l=6.6;s=213;v=F,11/24/2025,F
255,223,7.8,GNyYQeNYrM,i=255;v=T;s=223;l=7.8,9/19/2025,T
256,93,5.7,4AJTa2LmF3,l=5.7;v=T;i=256;s=93,12/3/2025,T
257,15,6.3,1j6tU2Wgo3,v=F;i=257;s=15;l=6.3,8/16/2025,F
258,129,5.9,NlXRTbaiOn,l=5.9;i=258;s=129;v=T,12/1/2025,T
259,236,6.1,9kQryiIP6r,i=259;v=F;l=6.1;s=236,9/20/2025,F
260,1,8,hfRkoESbT2,i=260;s=1;l=8.0;v=T,9/13/2025,T
261,81,8.4,iM78PWO3hE,v=F;s=81;l=8.4;i=261,11/19/2025,F
262,178,7.5,Q6s8ltknNL,v=F;s=178;i=262;l=7.5,8/28/2025,F
263,156,10.5,1ZwJmNfkGF,l=10.5;s=156;i=263;v=F,11/2/2025,F
264,14,9,mmsnpteDIz,v=F;l=9.0;i=264;s=14,8/8/2025,F
265,7,10,XDQFgan3sr,i=265;l=10.0;s=7;v=T,8/1/2025,T
266,216,8.7,gMLC8uqJA2,v=T;s=216;i=266;l=8.7,8/8/2025,T
267,176,8.7,l3rSVnP4JC,l=8.7;v=F;i=267;s=176,11/2/2025,F
268,208,7.8,6aUDG30FXF,v=T;l=7.8;i=268;s=208,9/10/2025,T
269,50,9.3,GvbJnB9TWh,l=9.3;v=F;i=269;s=50,7/31/2025,F
270,222,6.2,dSQIQCQytW,l=6.2;s=222;i=270;v=T,11/8/2025,T
271,187,7.5,QBQD2JSH5E,v=F;s=187;i=271;l=7.5,12/5/2025,F
272,23,10.6,7pgwAQTEmt,l=10.6;i=272;s=23;v=T,10/13/2025,T
273,75,10.6,lGgNCKXlbA,l=10.6;v=F;i=273;s=75,7/2/2025,F
274,2,7.8,5d6YBzqFiY,s=2;l=7.8;v=F;i=274,9/14/2025,F
275,92,10.9,4a9hkbFz0w,l=10.9;v=F;s=92;i=275,6/22/2025,F
276,118,7,8ysvOfEmGH,l=7.0;s=118;v=F;i=276,7/6/2025,F
277,186,10.1,ue8CasF16y,s=186;l=10.1;v=F;i=277,10/21/2025,F
278,24,8,j1qpXBx8oN,s=24;v=F;i=278;l=8.0,7/8/2025,F
279,12,7.9,tdZ6QpN1bZ,l=7.9;s=12;i=279;v=F,9/26/2025,F
280,85,9.1,JW5QVW90F5,v=F;l=9.1;s=85;i=280,10/25/2025,F
281,99,5.7,CEWuOb59uc,l=5.7;i=281;s=99;v=T,9/12/2025,T
282,198,10,fRXGpFKFKA,i=282;l=10.0;v=F;s=198,12/4/2025,F
283,171,9.6,ti6IlXxlGG,l=9.6;v=F;s=171;i=283,12/18/2025,F
284,195,9.3,pNbg35is42,s=195;l=9.3;i=284;v=F,9/14/2025,F
285,46,7.3,FzMQLWyuU6,i=285;l=7.3;s=46;v=F,12/17/2025,F
286,74,9.6,AxBfifMfFV,l=9.6;s=74;v=F;i=286,8/24/2025,F
287,44,8.8,xGVhrPkBaI,l=8.8;v=T;i=287;s=44,10/13/2025,T
288,246,7.5,S14D5aMKTe,s=246;i=288;v=T;l=7.5,9/11/2025,T
289,32,8.8,Zs2z66EFKy,l=8.8;v=T;s=32;i=289,8/27/2025,T
290,167,10.5,sAanEMF70g,s=167;v=F;i=290;l=10.5,10/26/2025,F
291,96,9.2,aM4bTiaUuV,s=96;v=T;l=9.2;i=291,12/5/2025,T
292,60,10.4,R5jNU19tsX,s=60;v=T;l=10.4;i=292,11/3/2025,T
293,191,10.2,mJmb2LoCu4,i=293;l=10.2;v=F;s=191,7/26/2025,F
294,106,10.2,zfaW8Dq6Fz,l=10.2;i=294;s=106;v=F,7/7/2025,F
295,209,7.6,wNrVkquJbS,s=209;v=F;i=295;l=7.6,8/4/2025,F
296,142,9.9,LOuUwa9qzo,i=296;l=9.9;v=F;s=142,7/22/2025,F
297,53,10.8,lDJiISq1H8,s=53;i=297;v=F;l=10.8,11/26/2025,F
298,193,8.2,KSyRRe9S9x,l=8.2;v=F;s=193;i=298,8/7/2025,F
299,158,10.1,aP4p5TVfvI,l=10.1;v=F;i=299;s=158,8/7/2025,F
300,85,9.1,ShCEsD3C2K,l=9.1;s=85;v=F;i=300,12/27/2025,F
301,230,7.7,Hq5z9r487l,i=301;s=230;l=7.7;v=T,7/11/2025,T
302,141,10,kh6hyNM1oG,l=10.0;s=141;i=302;v=F,10/17/2025,F
303,220,6.2,Qrty5YIIKm,l=6.2;i=303;v=F;s=220,12/31/2025,F
304,176,7.4,vsD3NPPO6c,s=176;i=304;l=7.4;v=T,8/22/2025,T
305,248,6,jt5jSLstSy,v=F;i=305;l=6.0;s=248,8/26/2025,F
306,168,9.9,YIubFBUbNB,l=9.9;s=168;v=F;i=306,12/23/2025,F
